CONCURSO,ID,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA,PRIMOS,REPETIDOS,MEDIA
4094,7842473,3,9,13,15,25,47,18,42900000,2025-08-10,3,0,18.7
4093,12248160,5,6,16,40,41,55,33,39000000,2025-08-08,2,1,27.2
4092,15956630,6,17,23,26,29,38,3,35900000,2025-08-06,3,0,23.2
4091,17654248,7,15,18,20,50,52,26,33500000,2025-08-03,1,0,27.0
4090,463232,1,3,12,16,35,53,40,30800000,2025-08-01,2,1,20.0
4089,6017148,2,17,22,33,35,47,38,30700000,2025-07-30,3,0,26.0
4088,30175178,20,21,28,43,44,49,40,30600000,2025-07-27,1,2,34.2
4087,22989744,10,28,31,38,40,49,43,30500000,2025-07-25,1,1,32.7
4086,22882003,10,24,29,39,52,54,36,30400000,2025-07-23,1,0,34.7
4085,19248695,8,14,16,22,37,40,12,30300000,2025-07-20,1,0,22.8
4084,8914484,3,17,28,44,50,51,32,30200000,2025-07-18,2,0,32.2
4083,26894795,14,21,38,46,47,49,41,30100000,2025-07-16,1,0,35.8
4082,2835385,1,17,19,34,48,50,14,30000000,2025-07-13,2,1,28.2
4081,10838246,4,11,22,28,33,50,24,30700000,2025-07-11,1,1,24.7
4080,13196579,5,11,24,25,37,44,12,30600000,2025-07-09,3,2,24.3
4079,11669389,4,19,37,39,44,48,36,30500000,2025-07-06,2,0,31.8
4078,26272967,13,28,43,50,55,56,49,30400000,2025-07-04,2,1,40.8
4077,26749461,14,19,24,35,54,55,29,30300000,2025-07-02,1,0,33.5
4076,25563147,13,15,20,41,44,45,49,30200000,2025-06-29,2,2,29.7
4075,19000558,8,12,15,18,20,34,44,30100000,2025-06-27,0,1,17.8
4074,21201255,9,18,26,44,47,51,3,30000000,2025-06-25,1,0,32.5
4073,13969085,5,19,21,34,42,53,3,228300000,2025-06-22,3,0,29.0
4072,25434493,13,14,17,25,44,47,22,224800000,2025-06-20,3,0,26.7
4071,15286736,6,11,19,29,33,38,42,221400000,2025-06-18,3,0,22.7
4070,30349379,20,25,42,43,44,55,14,218000000,2025-06-15,1,0,38.2
4069,7744011,3,8,21,32,33,52,36,214300000,2025-06-13,1,1,24.8
4068,8833979,3,16,29,35,43,45,47,210400000,2025-06-11,3,0,28.5
4067,4917498,2,8,32,38,49,50,30,207000000,2025-06-08,1,0,29.8
4066,24522634,12,14,24,46,54,55,4,202900000,2025-06-06,0,1,34.2
4065,32230016,30,39,40,45,50,54,5,197800000,2025-06-04,0,0,43.0
4064,14508958,6,7,11,13,23,26,17,195900000,2025-06-01,4,1,14.3
4063,23780569,11,18,24,25,27,52,26,192100000,2025-05-30,1,2,26.2
4062,21534266,9,25,27,29,51,56,44,188200000,2025-05-28,1,0,32.8
4061,13291719,5,12,18,20,32,38,13,185500000,2025-05-25,1,1,20.8
4060,23748906,11,18,19,22,24,53,51,182000000,2025-05-23,3,1,24.5
4059,6702866,3,4,8,11,29,47,14,178800000,2025-05-21,4,1,17.0
4058,6479684,2,26,29,35,36,45,4,175400000,2025-05-18,2,1,28.8
4057,9331026,3,25,33,36,49,53,27,171500000,2025-05-16,2,0,33.2
4056,12759259,5,9,10,31,32,39,47,167700000,2025-05-14,2,0,21.0
4055,10911045,4,12,14,38,41,44,40,164700000,2025-05-11,1,1,25.5
4054,8366722,3,12,21,23,27,52,34,161300000,2025-05-09,2,1,23.0
4053,12069577,4,33,35,39,49,52,21,157000000,2025-05-07,0,2,35.3
4052,6764055,3,4,12,14,18,49,39,154400000,2025-05-04,1,1,16.7
4051,10361810,4,8,25,26,32,55,34,150700000,2025-05-02,0,0,25.0
4050,1195428,1,6,10,35,45,53,22,146700000,2025-04-30,1,1,25.0
4049,24749132,12,16,40,42,45,51,19,143500000,2025-04-27,0,0,34.3
4048,12420536,5,7,13,19,29,31,50,140500000,2025-04-25,6,0,17.3
4047,24183491,11,27,28,40,42,52,51,136900000,2025-04-23,1,1,33.3
4046,1751067,1,8,30,42,44,46,20,134000000,2025-04-20,0,0,28.5
4045,16302777,6,23,24,34,40,53,25,130300000,2025-04-18,2,0,30.0
4044,10064089,4,7,12,29,33,42,41,127300000,2025-04-16,2,0,21.2
4043,27923800,15,32,36,38,43,51,22,124700000,2025-04-13,1,2,35.8
4042,12822843,5,9,15,38,41,53,7,121000000,2025-04-11,3,1,26.8
4041,30406271,20,28,30,36,53,56,26,116900000,2025-04-09,1,2,37.2
4040,6231253,2,20,25,34,49,56,13,113500000,2025-04-06,1,2,31.0
4039,6572824,2,30,39,43,54,56,12,109300000,2025-04-04,2,1,37.3
4038,31763711,26,28,31,50,55,56,37,105000000,2025-04-02,1,0,41.0
4037,21098027,9,17,21,25,35,42,27,102500000,2025-03-30,1,0,24.8
4036,808049,1,4,19,23,34,36,37,98900000,2025-03-28,2,1,19.5
4035,29618924,18,29,34,39,41,55,43,94700000,2025-03-26,2,1,36.0
4034,26254802,13,28,29,35,50,51,34,91700000,2025-03-23,2,1,34.3
4033,4355762,2,6,10,28,32,44,23,88000000,2025-03-21,1,0,20.3
4032,25991418,13,20,38,41,45,54,14,84000000,2025-03-19,2,1,35.2
4031,19067319,8,12,23,30,44,45,36,81700000,2025-03-16,1,0,27.0
4030,1229631,1,6,13,21,27,47,49,78700000,2025-03-14,2,1,19.2
4029,2151160,1,11,15,25,44,45,6,75300000,2025-03-12,1,0,23.5
4028,16237391,6,21,30,39,43,51,17,72300000,2025-03-09,1,1,31.7
4027,28112234,16,18,30,38,41,47,29,68300000,2025-03-07,2,1,31.7
4026,20185791,8,38,39,45,50,51,29,63900000,2025-03-05,0,1,38.5
4025,18616745,8,9,23,24,29,47,38,61300000,2025-03-02,3,0,23.3
4024,6611852,2,34,38,50,53,54,51,57000000,2025-02-28,2,0,38.5
4023,14092819,5,21,23,40,46,56,43,53300000,2025-02-26,2,0,31.8
4022,19332534,8,14,31,37,42,44,34,50700000,2025-02-23,2,2,29.3
4021,24323886,12,13,14,15,31,46,43,47300000,2025-02-21,2,1,21.8
4020,30459687,20,31,34,41,45,54,42,43000000,2025-02-19,2,1,37.5
4019,32436560,37,40,45,49,51,55,18,40000000,2025-02-16,1,1,46.2
4018,13122285,5,11,14,29,44,45,10,37300000,2025-02-14,3,0,24.7
4017,8107367,3,10,25,35,47,52,49,33700000,2025-02-12,2,1,28.7
4016,5147302,2,10,14,15,21,26,45,30900000,2025-02-09,1,0,14.7
4015,7956055,3,9,28,41,48,52,35,30700000,2025-02-07,2,2,30.2
4014,20852832,9,14,27,28,30,45,17,30600000,2025-02-05,0,2,25.5
4013,21500663,9,24,26,35,43,45,46,30500000,2025-02-02,1,2,30.3
4012,12784310,5,9,12,24,50,55,31,30400000,2025-01-31,1,1,25.8
